code,name,market,industry_em,营收_2026Q1,归母净利润_2026Q1,扣非归母_2026Q1,毛利率_2026Q1,营收_2025A,归母净利润_2025A,扣非归母_2025A,毛利率_2025A,营收_2024A,归母净利润_2024A,扣非归母_2024A,毛利率_2024A
600056,XD中国医,SH,医药商业,81.89,1.82,2.37,10.61%,353.62,4.73,6.75,10.50%,352.43,5.83,7.34,10.74%
600963,岳阳林纸,SH,造纸,19.55,1291.83,1291.83,7.71%,86.65,-2.35,-2.34,10.49%,81.15,1.72,1.72,13.50%
2443,金洲管道,SZ,特钢Ⅱ,9.36,3991.56,4557.63,13.03%,42.58,1.38,1.58,10.48%,46.17,2.01,2.32,10.85%
300504,天邑股份,SZ,通信设备,3.6,2288.91,2288.91,20.14%,12.26,-1.04,-1.04,10.48%,17.67,-2642.54,-2642.54,12.58%
1218,丽臣实业,SZ,化学制品,14.11,7717.89,7717.89,13.04%,49.83,1.61,1.61,10.47%,36.49,1.09,1.09,11.56%
3042,中农联合,SZ,农化制品,6.43,199.79,199.79,13.03%,18.61,-1.37,-1.37,10.46%,20.14,-1.22,-1.22,11.50%
601226,华电科工,SH,专业工程,16.24,-5220.96,-5455.91,9.08%,104.26,1.57,1.51,10.46%,75.41,1.15,1.18,11.31%
420,吉林化纤,SZ,化学纤维,13.04,2724.96,3084.99,12.70%,54.28,2273.04,2977.12,10.45%,38.83,2771.28,2888.41,13.69%
301068,大地海洋,SZ,环境治理,2.32,1360.43,1298.02,20.85%,13.74,-3188.51,-2216.94,10.44%,14.12,1.37,1.4,21.09%
300937,药易购,SZ,医药商业,11.14,-272.02,118.36,10.15%,44.54,-1285.15,-1645.57,10.42%,43.95,1320.01,1099.64,8.94%
300863,卡倍亿,SZ,汽车零部件,10.09,1.01,1.01,10.03%,40.45,1.19,1.19,10.40%,36.48,1.62,1.62,12.37%
402,金 融 街,SZ,房地产开发,27.64,3.45,3.39,31.08%,79.98,-53.84,-61.11,10.39%,190.75,-110.84,-115.56,3.00%
2031,巨轮智能,SZ,专用设备,1.18,-3584.36,-3682.32,10.42%,7.88,-2.32,-2.35,10.37%,9.82,-2.09,-2.12,11.63%
688472,阿特斯,SH,光伏设备,71.29,5.19,5.42,20.41%,402.56,10.16,-9.88,10.37%,461.65,22.47,22.35,15.00%
2426,胜利精密,SZ,消费电子,8.34,-7548.82,-7565.13,11.49%,35.48,-7.11,-7.11,10.36%,33.23,-7.38,-7.39,10.19%
605090,九丰能源,SH,燃气Ⅱ,44.98,4.34,4.37,14.38%,202.69,14.8,15.06,10.35%,220.47,16.84,16.88,9.33%
